,tweet,locacion
0,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Las Condes
1,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",AlcaldÃ­a
2,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",#CdMx
3,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",#CdMx
4,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Ãlvaro
5,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV","Ãlvaro ObregÃ³n esq. Fco. I Madero, Col. Valle Sur"
6,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",col. Las Colinas
7,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",#TGU
8,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Azcapotzalco
9,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Tzintzimeo
10,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",municipio de Ãlvaro ObregÃ³n
11,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Iztacalco
12,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",CDMX
13,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",AlcaldÃ­a Magdalena Contreras
14,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",seudoescenainvade
15,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Andador palomas
16,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Colonia Los Padres
17,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",DMQ
18,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Santa Lucia
19,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Ãlvaro
20,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Ãlvaro ObregÃ³n
21,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Ãlvaro ObregÃ³n
22,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",cdmx
23,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",alcaldÃ­a Azcapotzalco
24,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",VolcÃ¡n Ajusco
25,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",VolcÃ¡n PopocatÃ©petl
26,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Pradera
27,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Gustavo A.
28,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Ãlvaro ObregÃ³n
29,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Ãlvaro ObregÃ³n
30,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",JERSÃ
31,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",JERSÃ
32,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",UCRANIA
33,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",UCRANIA
34,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",UCRANIA
35,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",calle VolcÃ¡n Ajusco
36,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",PopocatÃ©petl
37,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Camalote
38,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Colonia La Pradera de la AlcaldÃ­a Gustavo A.
39,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Ã¡lvaro
40,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Zona en
41,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",AlcaldÃ­a Ãlvaro ObregÃ³n
42,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Lugansk
43,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Nueva York
44,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Poblado
45,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San Gregorio
46,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Poblado
47,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San Gregorio
48,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Europa
49,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Vienna
50,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Krasny Lyman
51,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Krasny Lyman
52,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",ElviÃ±a
53,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Eduardo Molina
54,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Oriente 95
